# Constructed from biom file
#OTU ID	lane1TineA1	lane1TineA10	lane1TineA11	lane1TineA12	lane1TineA2	lane1TineA3	lane1TineA4	lane1TineA5	lane1TineA6	lane1TineA7	lane1TineA8	lane1TineA9	lane1TineB1	lane1TineB10	lane1TineB11	lane1TineB12	lane1TineB2	lane1TineB3	lane1TineB4	lane1TineB5	lane1TineB6	lane1TineB7	lane1TineB8	lane1TineB9	lane1TineC1	lane1TineC10	lane1TineC11	lane1TineC12	lane1TineC2	lane1TineC3	lane1TineC4	lane1TineC5	lane1TineC6	lane1TineC7	lane1TineC8	lane1TineC9	lane1TineD1	lane1TineD2	lane1TineD3	lane1TineD4	lane1TineD5	lane1TineD6
P184-PWY	0.0	0.0	113.54568455507831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13013.895208386833	12102.52484596825	4432.75218179115	0.0	0.0	0.0	2650.6425740725995	9850.937687573574	4756.937778056904	14846.051453930535	17541.157622919454	13943.66414754854	4.628046636926097	0.0	7.941836937842434	6319.643913407962	6331.385535882044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.88767006699528	7.288008715415785	1556.4852441569153	5472.757940968684	6146.652879152775
P221-PWY	0.0	0.0	1345.3813538548047	41870.82203541077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.34659035481471	28243.155080262957	5304.67004017335	6187.422018353498	2578.8105985275915	0.0	0.0	2.4000000000000004	2490.905396218142	2522.5680462836153	3544.9396366164824	5448.451646522005	9564.642461582076	8438.506584511942	99.1047568614335	0.0	0.0	5005.1441178996165	3000.4740350324937	33154.8322744878	8097.741797434047	6280.6114678135955	71784.20378302739	56721.58991737082	33931.69978818284	54091.524292531816	63.88894567843257	38.18961012070675	35.2648959424796	1819.2775058684585	2363.9157176118783
P23-PWY	0.0	0.0	8258.647884955415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.515472891610685	0.0	8185.944019366508	12081.706686431799	11968.23101283142	0.0	0.0	0.0	3234.493348573657	2656.1191287291795	15800.863640103107	6048.4073136290235	18690.000112576283	8533.139860527801	12.028101230084134	0.0	0.0	3372.1917512757395	4862.654522233746	179.91604374771396	0.0	0.0	0.0	0.0	134.88065801261007	5.109327480304393	0.0	277.2415603963937	0.0	2431.9651711473985	1968.6720775751905
P241-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.392608419007733	24.808114155427653	0.0	0.0	0.0	1.6996276310306673	0.0	331.4128746030739	0.0	0.0	42.8599465278054	0.0	0.0	0.0	7.651135015101877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P261-PWY	0.0	0.0	1.104840503271157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.78039616702125	239.04165792331898	7.31878353516165	0.0	0.0	0.0	18.901785437729394	1.238096632941031	364.8410579378034	11.117657087103325	496.2802205084067	189.73778970094807	0.0	0.0	0.0	0.7492892025864121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8824052626506017e-09	0.0	0.05466308519601407	0.3831518448620143
P281-PWY	0.0	0.0	196.42998064661262	20.774911535147467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13162.80229828145	19822.198161723092	18320.893544221213	6277.236250308244	0.0	149.22393057568448	0.0	3884.6320144397146	15779.503443136611	7103.4510288120155	24353.046842967287	26312.555301363882	21838.796768082302	28.145791375966805	0.0	7.769395394007195	9994.798026842163	10142.281111767703	13834.409312952077	2063.8093387798785	1614.7657557636774	27345.671431585906	24549.46061296007	10976.46256678848	23447.178301845757	147.2882516588179	25.262904126725598	1642.4489901227332	8917.543323566068	9876.073410373163
P341-PWY	0.0	0.0	34.13298503195843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.132830973689316	252.89262052196958	33.24451181227179	0.0	0.0	0.0	76.17523160307964	4.8785620604166535	180.08835697120864	48.31572508124578	272.25097171996276	0.2615863939183523	0.0	0.0	0.0	0.3446821899754477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3309023791321695
P381-PWY	0.0	0.0	408.4900240499928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007312239258044621	3100.8287494922615	4532.451065586901	1528.4031628589387	0.0	0.0	0.0	664.3393022806569	996.7836233359698	3070.615442718129	3059.458733347165	5132.2537655397555	3330.453222955544	0.0	0.0	0.0	1179.952163622493	197.8919690407832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.155391698215956	0.0	1235.2717861044148	1403.4113640898909
P4-PWY	3.855360448189482	0.0	3203.9329337632726	606.8561369820372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.45278555226339	1001.6633491205126	27465.072331929954	30307.657159312945	13505.839155205136	0.0	4539.049545904679	0.0018530582699957615	5446.568965667806	17670.092181257856	16103.160981740533	27262.985318108193	43209.310745718605	28643.22060443684	98.7949232764621	0.0	184.4532832586394	14527.27039988515	11775.12204708774	71262.56352471825	54527.38511400135	1908.3937834269007	57760.16186262456	48927.93109834861	90586.32924712128	26798.374383149014	64.7032404043	35259.81850275236	1573.1618753716211	10436.95360723723	11916.834690841128
P42-PWY	5.940141374106356	0.0	11246.460617709738	138.92431693888722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.60154138618273	297.8840575908262	8330.630201285161	10867.142822385982	17258.100830805422	0.0	0.0	0.0	2413.1070464373274	5514.945020498834	13875.428942314455	11943.649290377227	17889.252047815113	9522.100101096261	139.24760189733985	9.224745126534382	0.0	5986.884947063389	4780.49663483919	53794.00833787746	11635.07711509235	823.1302279831655	40515.46953848774	42362.45999452283	49983.46204421671	6360.12628127016	0.0	277.2420810676579	0.0	3216.7253898385447	3096.024819729093
